EmployeeID,FirstName,LastName,Gender,Age,State,DistanceFromHome (KM),BusinessTravel,Ethnicity,Education,EducationField,MaritalStatus
DFA9-990E,Cale,Holston,Male,43,NY,34,No Travel ,White,Masters,Marketing ,Married
ED73-F078,Ernaline,Napolione,Female,45,NY,19,Frequent Traveller,Asian or Asian American,No Formal Qualifications,Computer Science,Married
C6EC-FEB5,Charlena,Severwright,Female,38,CA,1,Some Travel,White,No Formal Qualifications,Economics,Single
D7EE-56FC,Zsa zsa,Evered,Female,39,CA,17,Frequent Traveller,White,High School,Technical Degree,Married
C395-8C36,Curcio,Franek,Male,33,CA,3,Some Travel,Mixed or multiple ethnic groups,No Formal Qualifications,Technical Degree,Divorced
E348-E12B,Burnaby,Guillet,Male,36,IL,36,No Travel ,White,High School,Information Systems,Divorced
B3AF-7E58,Elvira,Ianelli,Female,45,NY,34,Some Travel,Black or African American,High School,Human Resources,Divorced
469A-8121,Baxie,Rising,Male,30,CA,36,Some Travel,American Indian or Alaska Native,Masters,Information Systems,Married
9E22-6287,Gifford,Poynser,Non-Binary,48,CA,37,Some Travel,White,Bachelors,Computer Science,Single
D5DA-363A,Rickey,Shere,Male,33,CA,41,Some Travel,Asian or Asian American,High School,Marketing,Married
BFF3-AADC,Collen,Sedman,Female,31,NY,25,No Travel ,American Indian or Alaska Native,High School,Marketing ,Divorced
C0BE-FED0,Bertram,Doleman,Male,40,NY,35,Some Travel,White,High School,Marketing,Married
D565-284D,Bessie,Bellson,Female,47,CA,21,Frequent Traveller,White,Bachelors,Economics,Single
00D4-DD53,Joyce,Goor,Female,30,CA,44,Frequent Traveller,Black or African American,No Formal Qualifications,Computer Science,Single
7FFD-C810,Claresta,Impy,Female,32,IL,22,Some Travel,White,High School,Other,Married
07B2-D67A,Rossie,Everleigh,Male,44,NY,40,Some Travel,White,High School,Economics,Divorced
1749-81A2,Elora,Bentjens,Female,48,CA,17,Some Travel,Black or African American,Bachelors,Information Systems,Single
FF14-A43E,Koenraad,Nannizzi,Male,47,NY,41,Some Travel,American Indian or Alaska Native,No Formal Qualifications,Computer Science,Married
3CD6-5587,Dorise,Klishin,Female,31,CA,20,Some Travel,White,High School,Computer Science,Single
4FC2-A40D,Gayle,Riseley,Female,32,NY,12,No Travel ,Black or African American,Bachelors,Computer Science,Married
9AAB-DCD0,Staci,Leith,Female,28,IL,14,Some Travel,White,High School,Business Studies,Divorced
427A-8C69,Pasquale,Abreheart,Male,32,CA,15,Some Travel,Mixed or multiple ethnic groups,Bachelors,Other,Married
A923-9EF6,Alaine,Hinrichsen,Female,41,CA,7,Frequent Traveller,Black or African American,No Formal Qualifications,Business Studies,Single
5C61-8F3A,Dyana,Gallie,Female,34,CA,5,Some Travel,White,No Formal Qualifications,Information Systems,Single
CF2F-8CA3,Lindy,Rawstorne,Male,45,CA,20,Some Travel,White,High School,Marketing ,Married
40A9-8EB0,Joannes,McFadden,Female,39,CA,31,Some Travel,White,Bachelors,Information Systems,Single
2E72-4BF1,Grace,Gohier,Male,44,CA,21,Some Travel,White,Bachelors,Marketing,Married
EE39-C8F2,Jaclin,Chadburn,Female,47,NY,17,Some Travel,White,High School,Computer Science,Married
C0C7-A3EF,Hagen,Worge,Male,48,CA,9,No Travel ,White,Doctorate,Economics,Single
79F3-8AA5,Lacy,Domerc,Female,47,NY,21,Some Travel,Mixed or multiple ethnic groups,Bachelors,Marketing ,Single
9528-AA17,Jaquelin,Kite,Female,48,NY,30,Some Travel,Black or African American,Bachelors,Information Systems,Married
9C71-34AE,Yvor,Walaron,Non-Binary,40,CA,44,Some Travel,White,High School,Computer Science,Single
C79A-E5E1,Alvera,Kulver,Female,32,CA,13,Frequent Traveller,White,No Formal Qualifications,Computer Science,Divorced
5468-EEE1,Forbes,Toretta,Male,28,NY,44,No Travel ,White,High School,Computer Science,Married
B50B-5A18,Paulina,Senecaut,Female,40,NY,27,Frequent Traveller,Black or African American,Masters,Computer Science,Divorced
11AE-3E4D,Sheffie,Tonkin,Male,39,CA,38,Some Travel,Mixed or multiple ethnic groups,High School,Technical Degree,Married
151D-1FF2,Kai,Lush,Female,34,CA,15,Frequent Traveller,White,High School,Marketing ,Single
D584-4E31,Patrica,Lamyman,Female,35,CA,22,Some Travel,Mixed or multiple ethnic groups,No Formal Qualifications,Economics,Married
0FC8-561B,Caryl,Loving,Male,29,IL,14,Frequent Traveller,Asian or Asian American,Bachelors,Computer Science,Married
A531-8159,Carlyn,Pavese,Female,37,NY,16,No Travel ,Mixed or multiple ethnic groups,Bachelors,Information Systems,Divorced
E7A6-33A3,Amye,Townes,Female,38,IL,39,Some Travel,White,Masters,Information Systems,Married
E4F4-11B9,Susanne,Wisam,Female,29,NY,19,Some Travel,White,High School,Marketing ,Single
586E-5C14,Gunther,Keays,Male,40,NY,9,Some Travel,Black or African American,No Formal Qualifications,Computer Science,Single
8A40-C85A,Reggie,Matthewman,Female,44,CA,28,Some Travel,Black or African American,Bachelors,Information Systems,Married
2B08-7D3D,Roderic,Daddow,Male,45,IL,19,Some Travel,White,Masters,Marketing ,Married
C96F-0F3B,Jessa,Glasscoo,Female,41,CA,16,Some Travel,White,No Formal Qualifications,Marketing ,Married
9DFE-1FD5,Angel,Hazeup,Male,42,IL,4,Some Travel,Black or African American,Bachelors,Human Resources,Married
C0A1-EB7D,Leona,McKnish,Female,36,CA,32,Some Travel,Asian or Asian American,Bachelors,Computer Science,Married
5731-90E6,Leonidas,Clarke-Williams,Non-Binary,35,CA,27,No Travel ,Asian or Asian American,Bachelors,Computer Science,Single
FD3F-5255,Quintilla,Wyllt,Female,45,IL,2,Some Travel,White,No Formal Qualifications,Information Systems,Divorced
132B-F2B2,Erica,Dracksford,Female,35,CA,36,Some Travel,White,Masters,Computer Science,Married
9DB2-76B3,Buck,Klawi,Male,41,NY,17,Some Travel,White,Bachelors,Economics,Married
4969-9A35,Thekla,Flintuff,Non-Binary,39,CA,8,Frequent Traveller,Asian or Asian American,Masters,Information Systems,Single
0CED-EE28,Ruthy,Pena,Female,48,CA,25,Some Travel,White,No Formal Qualifications,Computer Science,Married
D077-169C,Gustavo,Chatel,Male,46,CA,20,Some Travel,Black or African American,High School,Technical Degree,Married
63DA-AA21,Diannne,Choules,Female,43,CA,35,Some Travel,White,Bachelors,Computer Science,Divorced
ACA9-5DC2,Mireielle,Chstney,Female,46,NY,14,Frequent Traveller,White,No Formal Qualifications,Economics,Married
12B5-11CC,Vitoria,MacVaugh,Female,30,IL,8,Some Travel,White,Bachelors,Information Systems,Married
00A3-2445,Wyatt,Ziehm,Male,30,CA,6,Some Travel,Black or African American,High School,Computer Science,Married
076F-8AA3,Reese,Dibbert,Male,39,CA,5,Some Travel,White,High School,Computer Science,Single
3F19-FC5A,Hy,Trevance,Male,35,NY,29,Some Travel,White,Doctorate,Marketing,Divorced
8233-2483,Sheba,McCromley,Female,35,CA,7,Some Travel,Mixed or multiple ethnic groups,Bachelors,Marketing ,Divorced
1C87-44CB,Darlene,Mansbridge,Female,28,CA,9,Frequent Traveller,Black or African American,Bachelors,Computer Science,Married
6345-2F33,Ignacius,Streeter,Non-Binary,46,NY,36,Some Travel,Black or African American,High School,Computer Science,Married
A2FB-2D5D,Lebbie,Poure,Female,43,CA,11,Some Travel,White,Doctorate,Information Systems,Married
E5C1-B122,Camila,Hernik,Female,36,NY,33,No Travel ,Asian or Asian American,Masters,Marketing,Married
462E-03DF,Muffin,Ellcome,Female,45,NY,20,Some Travel,White,No Formal Qualifications,Computer Science,Married
C2DD-9D37,Ring,Genge,Male,42,IL,16,Some Travel,Asian or Asian American,Masters,Marketing ,Married
AEDB-BB62,Munmro,Ledamun,Male,39,CA,34,Some Travel,Mixed or multiple ethnic groups,No Formal Qualifications,Computer Science,Divorced
88B8-EB84,Crystal,McLleese,Female,34,CA,41,Some Travel,Black or African American,High School,Information Systems,Divorced
8822-B9C5,Amity,Kalisz,Female,41,CA,9,Some Travel,Black or African American,Bachelors,Computer Science,Single
E8F5-C47D,Jayne,Mickleburgh,Female,30,NY,19,Some Travel,Mixed or multiple ethnic groups,Bachelors,Human Resources,Married
D696-9D82,Eberto,Flaherty,Male,38,NY,39,Some Travel,White,Bachelors,Computer Science,Single
BE93-0736,Lucas,Oran,Male,35,CA,17,No Travel ,Asian or Asian American,High School,Computer Science,Divorced
0322-D46B,Nikolas,Leslie,Male,32,CA,39,Some Travel,Black or African American,Masters,Marketing ,Married
1E61-70EC,Addison,Elfe,Male,46,CA,11,Some Travel,Black or African American,Masters,Information Systems,Married
5222-EBE1,Saxe,Theodoris,Male,30,CA,14,Some Travel,Asian or Asian American,Masters,Computer Science,Married
DEBE-1622,Bartolemo,Balma,Male,28,CA,22,Frequent Traveller,White,Doctorate,Computer Science,Single
A366-C17A,Jodie,Le Breton De La Vieuville,Male,42,NY,34,Some Travel,White,Masters,Business Studies,Divorced
2962-039F,Darice,Excell,Female,47,NY,5,Some Travel,Mixed or multiple ethnic groups,Doctorate,Information Systems,Single
21CB-EF3E,Eleanora,Thornbarrow,Female,36,CA,4,Some Travel,White,Bachelors,Information Systems,Single
9727-BC84,Murdock,Spaduzza,Male,31,CA,15,Some Travel,White,Bachelors,Marketing,Married
68FB-06A7,Elle,Balcombe,Female,43,NY,1,Frequent Traveller,Mixed or multiple ethnic groups,Bachelors,Marketing,Single
74F2-5C55,Skipper,Sambles,Male,47,NY,40,Some Travel,White,High School,Computer Science,Single
085C-7FC2,Emmerich,Wallicker,Male,47,NY,17,No Travel ,White,Masters,Other,Married
AB5F-244C,Horst,Mynett,Male,36,CA,7,Some Travel,Black or African American,Masters,Computer Science,Divorced
55D6-1423,Benyamin,Wasielewicz,Male,43,CA,15,No Travel ,Asian or Asian American,High School,Other,Divorced
58C8-63FA,Pierce,Birkby,Male,38,CA,40,Some Travel,White,Masters,Computer Science,Divorced
87D2-8B67,Joana,McDougal,Female,45,NY,34,Some Travel,White,High School,Information Systems,Divorced
9FE1-0345,Eldridge,Artois,Male,28,CA,6,Some Travel,White,No Formal Qualifications,Information Systems,Single
EBBD-37D4,Bonni,Coal,Non-Binary,35,CA,26,Some Travel,Black or African American,Masters,Marketing,Single
9F65-F612,Patrice,Wearing,Female,28,CA,33,Some Travel,Asian or Asian American,Bachelors,Computer Science,Single
152E-8DB1,Beth,Kunz,Female,31,NY,14,Some Travel,Mixed or multiple ethnic groups,No Formal Qualifications,Other,Single
3994-472A,Rolf,Cunah,Male,29,CA,33,Some Travel,White,Bachelors,Computer Science,Divorced
02DA-7A72,Tadeas,Lackney,Male,29,CA,42,Frequent Traveller,White,Bachelors,Technical Degree,Married
E1B4-9AA1,Ashli,Hales,Female,46,CA,36,Some Travel,White,Bachelors,Marketing ,Married
8567-5B27,Shani,Deackes,Female,28,NY,32,Frequent Traveller,Black or African American,No Formal Qualifications,Technical Degree,Single
5237-1B85,Faydra,Losbie,Female,28,NY,9,Some Travel,Asian or Asian American,Masters,Computer Science,Single
F93D-CB5A,Zondra,Duigenan,Female,40,CA,26,Some Travel,Mixed or multiple ethnic groups,Bachelors,Information Systems,Single
B785-D8F8,Ruprecht,Blatchford,Male,32,CA,36,Some Travel,Black or African American,High School,Computer Science,Single
A9EB-9E41,Jacki,Mitro,Female,30,NY,30,Some Travel,Asian or Asian American,No Formal Qualifications,Computer Science,Married
C25C-C434,Jillayne,Goshawke,Female,35,CA,39,Frequent Traveller,Mixed or multiple ethnic groups,Masters,Computer Science,Single
F265-79B0,Glenda,Peacock,Female,37,CA,14,Frequent Traveller,Mixed or multiple ethnic groups,Masters,Computer Science,Married
9E7A-1F70,Carita,Strowther,Female,29,CA,4,Some Travel,Mixed or multiple ethnic groups,High School,Marketing ,Single
D199-1896,Lin,Dibbs,Female,42,CA,39,Some Travel,White,Bachelors,Economics,Married
9AAD-D3C1,Annie,Jablonski,Female,45,CA,43,Some Travel,Black or African American,High School,Other,Divorced
9D7B-9B37,Eleanor,Hillen,Female,28,CA,8,Some Travel,Mixed or multiple ethnic groups,Bachelors,Marketing,Married
E9B9-3944,Tobit,Lowry,Male,42,NY,5,Some Travel,Mixed or multiple ethnic groups,No Formal Qualifications,Computer Science,Single
4CCA-B1E6,Dolf,Featenby,Male,43,CA,39,Some Travel,White,High School,Marketing,Divorced
A4A4-F49C,Nichols,Baty,Male,34,IL,40,Some Travel,White,Bachelors,Computer Science,Married
FE2B-3DC7,Mattie,Wippermann,Female,28,NY,23,Some Travel,White,Bachelors,Information Systems,Married
C6D7-A568,Eve,Takkos,Female,42,CA,10,No Travel ,White,High School,Marketing ,Married
3560-C117,Allyson,Kordas,Female,28,CA,4,Frequent Traveller,Mixed or multiple ethnic groups,Bachelors,Computer Science,Married
9169-FC4B,Reinaldos,Baynes,Male,28,CA,18,Some Travel,Native Hawaiian ,High School,Economics,Married
49B2-0364,Husain,Frizzell,Male,45,NY,1,Frequent Traveller,Black or African American,Bachelors,Marketing ,Married
4404-DE5A,Karina,Weddup,Female,32,CA,39,Some Travel,Asian or Asian American,No Formal Qualifications,Computer Science,Single
F9B6-C80B,Veronica,Farlham,Female,43,CA,10,Some Travel,White,Bachelors,Computer Science,Divorced
B1EC-849B,Paule,Mapplebeck,Female,28,CA,1,Some Travel,White,Masters,Marketing ,Married
7B98-EA6F,Gabriello,Clemente,Male,44,CA,23,Some Travel,Native Hawaiian ,Bachelors,Information Systems,Single
C385-CDBE,Filide,Dinnies,Female,36,NY,41,Some Travel,White,Bachelors,Computer Science,Single
64D6-0D5F,Sherwood,Furlow,Non-Binary,37,CA,28,Some Travel,Black or African American,Bachelors,Information Systems,Single
9085-1FE8,Fan,Pizey,Female,35,NY,32,Some Travel,Mixed or multiple ethnic groups,High School,Business Studies,Married
9728-1A5B,Vernen,Rennie,Male,48,NY,33,Some Travel,Mixed or multiple ethnic groups,High School,Marketing ,Divorced
3EB2-9111,Ginger,Blinde,Male,48,IL,26,Some Travel,White,Masters,Information Systems,Divorced
C330-DAF4,Lonni,Lelievre,Female,34,NY,16,Some Travel,White,High School,Economics,Divorced
041A-31B0,Gerri,Fullerlove,Female,34,NY,41,Some Travel,Black or African American,Bachelors,Computer Science,Married
8EE9-E86D,Conn,Mouser,Male,46,IL,45,Some Travel,White,Bachelors,Human Resources,Divorced
692B-7152,Murry,Dominici,Male,47,CA,42,Some Travel,Asian or Asian American,Bachelors,Marketing ,Married
022A-0219,Francine,Fernez,Female,32,IL,14,Frequent Traveller,American Indian or Alaska Native,Bachelors,Business Studies,Married
2F85-AF81,Cassandre,Joubert,Non-Binary,42,CA,12,Some Travel,White,Masters,Business Studies,Married
DFE3-6FA7,Eulalie,Critch,Female,43,CA,5,Frequent Traveller,American Indian or Alaska Native,Bachelors,Marketing ,Single
5B08-EF96,Karlen,Gulston,Female,36,CA,28,No Travel ,Asian or Asian American,Masters,Other,Divorced
52DD-757F,Danielle,Viste,Female,48,CA,40,No Travel ,White,High School,Information Systems,Divorced
E7D3-03C9,Whitman,Schruyers,Male,42,CA,26,Some Travel,White,Masters,Marketing,Single
7C80-94E0,Celie,Jedrys,Female,33,CA,36,Some Travel,Asian or Asian American,Bachelors,Computer Science,Single
EE04-1533,Doralynne,Giacoboni,Female,47,CA,19,Frequent Traveller,American Indian or Alaska Native,Bachelors,Technical Degree,Married
67ED-A630,Adan,Fradgley,Male,29,CA,38,Some Travel,Asian or Asian American,Masters,Marketing,Married
D351-C7E4,Doralin,Whiley,Female,42,CA,9,Some Travel,Asian or Asian American,High School,Information Systems,Married
86E2-73D1,Purcell,Keig,Male,39,CA,3,Some Travel,Black or African American,Bachelors,Computer Science,Single
8583-9174,Mimi,Mawditt,Female,46,NY,16,Frequent Traveller,White,High School,Computer Science,Single
6176-3BEE,Trumaine,Nevett,Male,29,NY,20,Some Travel,Black or African American,Bachelors,Marketing ,Single
AF58-5D1B,Jeri,MacDiarmid,Female,36,NY,35,Some Travel,White,High School,Computer Science,Married
16FB-8835,Albina,Baston,Female,46,NY,24,Frequent Traveller,White,Bachelors,Computer Science,Married
A71E-A9DC,Greta,Turneux,Female,31,NY,21,Frequent Traveller,Asian or Asian American,Bachelors,Marketing,Single
CC2F-670E,Blake,Louys,Male,29,CA,26,Frequent Traveller,White,Bachelors,Computer Science,Single
67D7-9785,Corinne,Andreaccio,Female,38,CA,6,Frequent Traveller,Black or African American,Bachelors,Information Systems,Single
F662-DEA5,Morley,Dmitriev,Male,38,CA,18,Some Travel,Black or African American,High School,Information Systems,Married
59DB-8465,Nancey,Luetkemeyers,Female,47,CA,3,Frequent Traveller,White,Bachelors,Marketing ,Married
96F4-896C,Kerwin,Wheadon,Male,43,CA,21,No Travel ,White,Masters,Information Systems,Single
8026-658D,Dana,Lobb,Male,36,NY,28,Some Travel,Black or African American,Bachelors,Information Systems,Married
F997-FE6C,Meryl,Slucock,Female,40,NY,17,Some Travel,White,No Formal Qualifications,Information Systems,Married
0C23-26DD,Bathsheba,Ablewhite,Female,35,NY,23,Some Travel,White,Bachelors,Economics,Married
7B9D-8612,Gizela,Pauncefoot,Female,32,IL,9,Some Travel,White,High School,Marketing ,Divorced
B3FE-D332,Josephine,Stickley,Female,30,CA,42,Some Travel,White,Doctorate,Computer Science,Married
1054-9C3B,Elizabeth,Babbe,Female,30,IL,1,Some Travel,Asian or Asian American,Masters,Other,Married
1217-CE30,Marchelle,Duffield,Female,45,CA,34,Some Travel,American Indian or Alaska Native,Bachelors,Marketing,Divorced
4500-37EB,Haydon,Bastable,Male,30,CA,40,Frequent Traveller,Mixed or multiple ethnic groups,High School,Marketing,Divorced
AB03-8820,Daryle,Boarder,Male,43,IL,3,Some Travel,Mixed or multiple ethnic groups,No Formal Qualifications,Economics,Married
DF11-9C46,Dulci,Sheryn,Female,32,CA,2,Some Travel,Mixed or multiple ethnic groups,High School,Computer Science,Single
9937-CDF7,Galvin,Sawley,Male,28,NY,19,Some Travel,Mixed or multiple ethnic groups,High School,Marketing,Married
2BEA-43B2,Clay,Carabine,Male,48,IL,44,Some Travel,White,No Formal Qualifications,Computer Science,Single
0DBC-596E,Dita,Perch,Non-Binary,44,CA,14,Some Travel,Black or African American,High School,Computer Science,Single
B09D-DFEC,Eustace,Skune,Male,47,CA,37,Some Travel,White,No Formal Qualifications,Information Systems,Married
8ED3-4377,Giusto,Raynes,Male,30,CA,33,Some Travel,White,Bachelors,Computer Science,Single
C525-8BB9,Briggs,Pettet,Male,29,NY,14,Some Travel,Black or African American,Bachelors,Other,Divorced
1F0F-458C,Carrie,Scroyton,Female,29,NY,3,Some Travel,White,Bachelors,Business Studies,Divorced
9D3C-DA45,Broddy,Jardine,Male,32,CA,24,Some Travel,Native Hawaiian ,Bachelors,Information Systems,Married
D13E-E661,Benson,Van De Cappelle,Male,36,CA,38,Some Travel,White,High School,Marketing,Married
618D-7685,Maridel,O'Hederscoll,Female,30,CA,26,Some Travel,White,Bachelors,Information Systems,Single
9825-45EF,Godfrey,Reynoollds,Non-Binary,36,CA,31,No Travel ,Mixed or multiple ethnic groups,High School,Economics,Single
1609-65E1,Vita,Cicchelli,Female,33,IL,34,Frequent Traveller,Asian or Asian American,High School,Computer Science,Single
6965-C170,Joya,Hefford,Female,48,NY,32,Some Travel,White,Bachelors,Technical Degree,Married
F523-1135,Derrik,Seage,Male,29,NY,17,Frequent Traveller,Black or African American,High School,Computer Science,Divorced
465A-91D1,Ranna,Crosbie,Female,42,NY,36,Some Travel,Other ,No Formal Qualifications,Marketing ,Single
2B7A-9C73,Bryanty,Wickersley,Non-Binary,45,CA,17,Frequent Traveller,White,Masters,Computer Science,Single
A2B5-823F,Adrian,Westhead,Non-Binary,44,CA,32,Some Travel,White,Bachelors,Computer Science,Married
F838-C681,Shay,Casburn,Male,32,IL,22,Some Travel,Black or African American,Masters,Business Studies,Married
7F91-C628,Bertie,Suthren,Non-Binary,36,IL,14,Frequent Traveller,White,No Formal Qualifications,Information Systems,Single
565B-C207,Seline,Ganny,Female,30,IL,3,No Travel ,White,Bachelors,Information Systems,Married
4DA0-81D7,Cole,Vost,Male,28,CA,34,Some Travel,Asian or Asian American,High School,Marketing ,Single
5818-560C,Donny,Tosh,Female,30,CA,26,Some Travel,Black or African American,No Formal Qualifications,Computer Science,Divorced
1363-6BF9,Mikel,Worrall,Male,36,CA,10,Some Travel,Other ,Bachelors,Business Studies,Single
05B0-755F,Sollie,Arnke,Male,44,CA,29,Some Travel,Asian or Asian American,Bachelors,Computer Science,Married
4C62-5BE8,Cristine,Lambdon,Non-Binary,39,CA,4,Frequent Traveller,White,No Formal Qualifications,Business Studies,Single
2523-EFD4,Vanny,Ruggen,Female,34,NY,14,Some Travel,White,High School,Information Systems,Single
21B3-8491,Nicky,Janssens,Male,42,CA,37,Some Travel,Black or African American,Masters,Computer Science,Married
F3CD-9B5B,Timothee,MacFadyen,Male,29,IL,12,Some Travel,Asian or Asian American,High School,Marketing ,Married
DCFE-F601,Bertram,Abrahami,Male,48,IL,36,Some Travel,White,Bachelors,Information Systems,Single
DD78-E811,Addy,Slimings,Female,38,CA,25,Some Travel,Asian or Asian American,High School,Other,Married
45D2-369E,Melvin,McGeneay,Male,30,CA,7,Some Travel,White,No Formal Qualifications,Information Systems,Married
0D8F-C0F3,Cathrine,Lankford,Female,29,CA,44,Some Travel,Asian or Asian American,Bachelors,Business Studies,Divorced
6FE1-C8A8,Marchall,Burnes,Male,29,NY,35,Some Travel,Black or African American,High School,Economics,Married
AB81-A3A0,Jerrome,Furney,Male,29,CA,14,Some Travel,White,Masters,Marketing,Married
6E7B-D50D,Anet,Dublin,Female,38,CA,12,Some Travel,White,No Formal Qualifications,Other,Married
307F-9BFA,Elly,Kennan,Female,43,NY,21,Some Travel,White,High School,Computer Science,Married
7F1C-20B8,Page,Sculpher,Female,39,CA,10,Some Travel,Mixed or multiple ethnic groups,High School,Information Systems,Divorced
606E-A262,Parke,Loxton,Male,28,CA,27,Some Travel,White,No Formal Qualifications,Information Systems,Married
F890-975A,Hynda,Stonehouse,Female,48,CA,35,Some Travel,Mixed or multiple ethnic groups,High School,Information Systems,Divorced
9C57-828C,Stearn,Bever,Male,31,IL,39,Some Travel,American Indian or Alaska Native,Bachelors,Computer Science,Single
8CF6-3079,Jaquenetta,Corkel,Female,27,NY,1,Some Travel,Black or African American,Masters,Computer Science,Divorced
5021-95FC,Louie,Trowsdall,Male,29,CA,44,Some Travel,White,Bachelors,Marketing,Single
CD0F-DE05,Prudence,Cockrell,Female,28,CA,43,No Travel ,White,Bachelors,Computer Science,Single
F430-0404,Randie,Mouth,Female,32,CA,23,No Travel ,Asian or Asian American,Masters,Economics,Divorced
1F12-DDDA,Farly,Drinan,Male,32,NY,12,No Travel ,White,Masters,Information Systems,Married
BFE7-5EA8,Siobhan,Antognelli,Non-Binary,41,NY,3,Frequent Traveller,White,Bachelors,Marketing ,Single
549F-B3E7,Arlyne,Paylie,Female,41,NY,34,No Travel ,White,High School,Marketing ,Married
B303-8962,Lynne,Boomes,Female,39,CA,15,Some Travel,Mixed or multiple ethnic groups,Bachelors,Marketing ,Married
B48C-47D0,Norman,Longmuir,Male,28,NY,28,Frequent Traveller,Mixed or multiple ethnic groups,Bachelors,Marketing ,Single
CD4D-7BBA,Cristian,Massy,Male,43,CA,38,Some Travel,White,Masters,Computer Science,Married
7349-CCE0,Elisabeth,Pettyfar,Female,32,CA,7,Some Travel,Mixed or multiple ethnic groups,Masters,Computer Science,Divorced
4316-C080,Padraig,Carnell,Male,34,CA,25,No Travel ,Mixed or multiple ethnic groups,No Formal Qualifications,Computer Science,Married
279C-7342,Amelita,Liveley,Non-Binary,29,CA,31,Frequent Traveller,White,Masters,Marketing,Married
819A-2C9C,Hillary,Atchly,Male,30,NY,7,No Travel ,American Indian or Alaska Native,Bachelors,Computer Science,Married
9811-F345,Wells,Mulholland,Male,42,CA,40,Some Travel,Black or African American,Masters,Computer Science,Divorced
A954-6310,Rosaline,Griffe,Female,29,CA,45,Some Travel,White,Bachelors,Computer Science,Married
8ACE-C5CE,Germana,Gulvin,Female,43,NY,38,Some Travel,American Indian or Alaska Native,High School,Marketing,Married
8365-EB74,Umberto,Wallentin,Male,40,CA,14,Frequent Traveller,Asian or Asian American,High School,Information Systems,Married
2A04-49D1,Tallie,Le Pine,Non-Binary,41,CA,11,Some Travel,Black or African American,Doctorate,Information Systems,Divorced
52CC-3E9E,Ogdon,Madsen,Male,30,CA,13,Frequent Traveller,Mixed or multiple ethnic groups,Masters,Computer Science,Divorced
5B0E-31FB,Hasheem,Mance,Male,37,NY,22,Some Travel,White,High School,Information Systems,Single
ED49-73D3,Carita,Frazier,Female,28,IL,18,Some Travel,White,Masters,Marketing,Single
B013-7D0C,Carline,Mort,Female,28,CA,24,Some Travel,Mixed or multiple ethnic groups,Bachelors,Information Systems,Married
134B-4157,Stearne,Axelbee,Male,37,IL,29,Some Travel,White,Bachelors,Computer Science,Married
AB4A-E71A,Theodor,Smaleman,Male,43,IL,3,Some Travel,White,Bachelors,Marketing,Married
03EF-5904,Shepperd,Brittain,Male,31,IL,45,Some Travel,American Indian or Alaska Native,Bachelors,Other,Married
0C7B-2EA6,Oswell,McCloid,Male,34,NY,25,Frequent Traveller,Asian or Asian American,High School,Other,Married
1D35-190A,Carena,Devita,Female,35,CA,18,Some Travel,Asian or Asian American,Masters,Marketing ,Single
0868-097F,Modesty,Kingescot,Non-Binary,33,CA,26,Some Travel,White,Bachelors,Information Systems,Single
4B6E-3C21,Heidie,McCrone,Female,32,CA,29,Some Travel,White,Masters,Economics,Divorced
46ED-4007,Ulysses,Wathan,Male,34,IL,40,Frequent Traveller,Asian or Asian American,Bachelors,Economics,Married
2E9A-BD2E,Blake,Metheringham,Male,36,CA,13,Some Travel,Asian or Asian American,Doctorate,Marketing ,Married
